6 5 18

Please enter a 5 digit gain constant (of the form : xx.xxx) 
New X drive gain is 5
0,-104,3235,4632,12.37
-120,-120,3235,5520,12.43
-36,-144,3235,5532,12.13
-4,-160,3235,5660,12.13
12,-148,3235,5364,12.13
-20,-148,3235,5524,12.13
-28,-160,3235,5780,12.07
-48,-144,3235,5592,12.07
-76,-160,3235,6020,12.07
-56,-152,3235,5776,12.07
-64,-160,3235,5960,12.07
-84,-148,3235,5844,12.00
-104,-160,3235,6160,12.07
-68,-132,3235,5476,12.00
-84,-140,3235,5700,12.00
-80,-140,3235,5680,11.94
-116,-116,3235,5428,12.00
-88,-100,3235,5000,12.00
-104,-116,3235,5368,11.94
-108,-88,3235,4884,12.00
-48,-100,3235,4800,12.00
-88,-76,3181,4568,12.00
-92,-52,3037,4156,12.00
-80,-60,3085,4240,12.07
-68,-44,2989,3892,12.00
-56,-36,2941,3688,12.00
-88,-52,3037,4136,12.00
-68,-44,2989,3892,12.00
-64,-28,2893,3584,12.00
-96,-24,2869,3672,12.00
-52,-24,2869,3452,12.07
-68,-28,2893,3604,12.07
-84,-28,2893,3684,12.07
-80,-20,2845,3520,12.00
-76,-24,2869,3572,12.00
-52,-16,2821,3308,12.00
28,-8,2773,2764,12.07
160,20,2605,2760,12.13
72,-12,2797,2760,12.31
-40,0,2725,2960,12.31
0,-12,2797,2976,12.37
20,-8,2773,2804,12.31
12,-8,2773,2844,12.25
12,-12,2797,2916,12.37
12,-4,2749,2772,12.37
16,-8,2773,2824,12.25
12,-4,2749,2772,12.37
8,-4,2749,2792,12.31
16,-4,2749,2760,12.37
8,-16,2821,3008,12.37
0,-12,2797,2976,12.37
20,-8,2773,2804,12.19
24,-8,2725,2784,12.25
20,-4,2725,2760,12.37
16,-4,2725,2760,12.37
