6 18 18 turning left


-24,64,2341,4344,12.61
-40,132,2215,5856,12.68
12,108,2215,4488,12.31
-8,104,2215,4776,12.25
-24,84,2221,4704,12.25
-40,136,2215,5928,12.25
-20,112,2215,5136,12.25
-24,108,2215,5136,12.25
-68,100,2215,5784,12.19
-56,96,2215,5496,12.19
-92,84,2221,5928,12.19
-92,108,2215,6360,12.19
-96,96,2215,6216,12.13
-108,80,2245,6144,12.07
-112,88,2215,6360,12.07
-108,84,2221,6216,12.13
-156,84,2221,6700,12.07
-168,80,2245,6700,12.07
-136,76,2269,6576,12.13
-112,52,2413,5712,12.13
-140,32,2533,5856,12.07
-144,40,2485,6072,12.07
-144,24,2581,5784,12.07
-120,28,2557,5424,12.07
-148,40,2485,6144,12.13
-128,44,2461,5856,12.07
-128,28,2557,5568,12.07
-136,12,2653,5424,12.13
-108,20,2605,5064,12.07
-116,-8,2773,4992,12.13
-112,-4,2749,4848,12.13
-96,-4,2749,4560,12.13
-132,-4,2749,5208,12.13
-120,4,2701,4992,12.07
-132,16,2629,5424,12.13
-124,4,2701,5064,12.19
-120,8,2677,5064,12.19
-116,8,2677,4992,12.13
-96,24,2581,4920,12.13
-84,8,2677,4416,12.13
-100,-8,2773,4704,12.13
-96,-28,2893,4992,12.13
-56,-8,2773,3912,12.19
-28,36,2509,3912,12.19
-12,16,2629,3264,12.19
88,-8,2773,2760,12.19
180,-12,2797,2760,12.31
76,4,2701,2760,12.55
24,-4,2749,2760,12.55
40,0,2725,2760,12.55
40,4,2701,2760,12.55
44,0,2725,2760,12.55
36,0,2725,2760,12.55
44,8,2677,2760,12.55
44,16,2629,2760,12.61
40,0,2725,2760,12.55
40,-12,2797,2760,12.55
60,8,2725,2760,12.61
44,4,2725,2760,12.55
40,-8,2725,2760,12.61
40,8,2725,2760,12.55
48,-4,2725,2760,12.61
